大陆,#genre#
z频道,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/525785.m3u8
Animax,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477583.m3u8
八大娛樂,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477064.m3u8
三立財經新聞,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/488992.m3u8
非凡商业台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/488936.m3u8
NHK,https://bmcc.nhkworld.jp/live/index_1M.m3u8
華藏衛星電視台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/495256.m3u8
信大電視台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/495258.m3u8
正德电视频道,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/495464.m3u8
台湾番薯電視台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/495096.m3u8
大立电视台,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
民視第一台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476243.m3u8
民視台湾,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476244.m3u8
中視菁采,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476260.m3u8
中視新聞台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476269.m3u8
台視新聞台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476268.m3u8
台視新聞（備）,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/495824.m3u8
台視新聞（備）,https://yt-stream.livednow.com/stream/xL0ch83RAK8/master.m3u8
台視新闻 备,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/529891.m3u8
台視財經,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476271.m3u8
台視綜合,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476261.m3u8
達文西頻道,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/493134.m3u8
探索亞洲,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476978.m3u8
discovery 探索科学（备）,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/489008.m3u8
BBC地球高清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477040.m3u8
探索科學,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476981.m3u8
緯來精采,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476286.m3u8
華納電影,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476301.m3u8
寰宇新聞,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476270.m3u8
亞洲旅遊,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476274.m3u8
美食星球,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476263.m3u8
HGTV居家樂活,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476328.m3u8
博斯運動,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477034.m3u8
AMC HD ,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477058.m3u8
HBO 强档钜献,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476972.m3u8
HBO family,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476973.m3u8
博斯高球1,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477089.m3u8
博斯高球2,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477073.m3u8
博斯魅力,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477598.m3u8
博斯網球,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477602.m3u8
博斯運動 2,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477029.m3u8
博斯無限,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477603.m3u8
大爱二台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/493133.m3u8
公视三台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/493131.m3u8
彭博财经台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/493132.m3u8
博斯無限 Ⅱ,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477604.m3u8
龍華洋片,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477076.m3u8
龍華日韓,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476231.m3u8
龍華日韓 （备）,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/483360.m3u8
龍華經典,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476294.m3u8
龍華電影,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476300.m3u8
Hollywood,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477065.m3u8
龍華戲劇,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476293.m3u8
KLT靖天國際,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476254.m3u8
